baseline,zkp_only,dp_only,composite,reduction_factor,dataset_size,epsilon
9.965784284662087,0.001,0.7213475204444817,0.1,99.65784284662087,1000,0.5
9.965784284662087,0.001,1.4426950408889634,0.1,99.65784284662087,1000,1.0
9.965784284662087,0.001,2.8853900817779268,0.1,99.65784284662087,1000,2.0
12.287712379549449,0.001,0.7213475204444817,0.1,122.87712379549448,5000,0.5
12.287712379549449,0.001,1.4426950408889634,0.1,122.87712379549448,5000,1.0
12.287712379549449,0.001,2.8853900817779268,0.1,122.87712379549448,5000,2.0
13.287712379549449,0.001,0.7213475204444817,0.1,132.87712379549447,10000,0.5
13.287712379549449,0.001,1.4426950408889634,0.1,132.87712379549447,10000,1.0
13.287712379549449,0.001,2.8853900817779268,0.1,132.87712379549447,10000,2.0
15.609640474436812,0.001,0.7213475204444817,0.1,156.0964047443681,50000,0.5
15.609640474436812,0.001,1.4426950408889634,0.1,156.0964047443681,50000,1.0
15.609640474436812,0.001,2.8853900817779268,0.1,156.0964047443681,50000,2.0
16.609640474436812,0.001,0.7213475204444817,0.1,166.0964047443681,100000,0.5
16.609640474436812,0.001,1.4426950408889634,0.1,166.0964047443681,100000,1.0
16.609640474436812,0.001,2.8853900817779268,0.1,166.0964047443681,100000,2.0
